Timestamp,Original Duration (s),Original Speed (KB/s),Custom Duration (s),Custom Speed (KB/s)
2024-07-19 18:26:13,1,.04 KB/s,0,N/A
2024-07-19 18:26:28,0,N/A,0,N/A
2024-07-19 18:43:44,0,0,0
2024-07-19 18:44:52,1,0,1
